timeTag,devStatus,devDeep,devSpeed,dataTemp,dataConv,dataP,dataSal,dataSV,dataPH,dataZ,dataY,iatitude,longitude,shipSpeed,oceanDeep
2020-06-20 14:55:11,1,229.6483332316081,3.724999964237213,17.63866678873698,34.40850003560384,250.31668345133463,44.94850031534831,1517.8683268229167,1025.9161580403645,14.993333339691162,59.94183349609375,,,2,1200
2020-06-20 14:55:12,1,233.33428519112724,3.7757142952510288,17.377714157104492,34.388571058000835,254.3343680245536,44.66985702514648,1517.1328822544642,1025.9807303292412,14.76999991280692,59.43985639299665,,,2,1200
2020-06-20 14:55:13,1,237.23833211263025,4.391666690508525,16.94716676076253,34.309499740600586,258.58978780110675,44.15766716003418,1515.8182983398438,1026.0411580403645,14.40666675567627,58.56433359781901,,,2,1200
2020-06-20 14:55:14,1,241.2528599330357,3.88285722051348,16.29585756574358,34.283285413469585,262.9656110491072,43.49314226422991,1513.8728550502233,1026.192731584821,13.851428440638951,57.34457070486887,,,2,1200
2020-06-20 14:55:15,1,245.18500010172525,4.0166666607062025,15.775333404541016,34.19200007120768,267.25164794921875,42.88616625467936,1512.2266845703125,1026.2606811523438,13.410000006357828,56.2961680094401,,,2,1200
2020-06-20 14:55:16,1,248.82833353678384,3.888333380222321,15.65766668319702,34.16450055440267,271.22288513183594,42.74316724141439,1511.8916625976562,1026.2826741536458,13.30833355585734,56.05150032043457,,,2,1200
2020-06-20 14:55:17,1,252.4850006103516,3.786666711171468,15.502166430155436,34.15916633605957,275.2086486816406,42.58883412679037,1511.4566650390625,1026.329833984375,13.178333441416422,55.76716677347819,,,2,1200
2020-06-20 14:55:18,1,256.3283335367839,3.465000033378601,15.14116668701172,34.112000147501625,279.3978881835937,42.18933359781901,1510.3333129882812,1026.3916422526042,12.869999885559082,55.05933380126953,,,2,1200
2020-06-20 14:55:19,1,259.90142822265625,3.732857091086252,14.676856994628906,34.10014288766043,283.2925589425223,41.732428959437776,1508.8342982700892,1026.5014125279015,12.47571441105434,54.20814296177456,,,2,1200
2020-06-20 14:55:20,1,263.47999572753906,3.743333339691162,14.392333189646402,34.03766695658366,287.1932017008464,41.39300092061361,1507.9066569010415,1026.5313313802085,12.233333428700766,53.62633387247721,,,2,1200
2020-06-20 14:55:21,1,266.9066772460937,3.151666641235352,14.137166659037272,34.02950032552084,290.9282684326172,41.142333348592125,1507.1316528320312,1026.5950317382812,12.015000184377037,53.15733337402344,,,2,1200
2020-06-20 14:55:22,1,270.8971426827567,4.11428575856345,13.82028579711914,34.01500047956194,295.2778843470982,40.82657132829939,1506.1443045479912,1026.6688581194196,11.74571432386126,52.57228524344308,,,2,1200
2020-06-20 14:55:23,1,274.58167521158856,3.490000009536743,13.337666829427084,33.95383326212565,299.2940216064453,40.304832458496094,1504.546651204427,1026.738993326823,11.336666425069174,51.641501108805336,,,2,1200
2020-06-20 14:55:24,1,278.40713936941967,3.5671428612300327,12.887142862592423,33.956856863839285,303.4637887137277,39.88399996076311,1503.1142752511162,1026.8505684988838,10.954285894121442,50.838285718645366,,,2,1200
2020-06-20 14:55:25,1,281.86333719889325,3.5149999856948853,12.36383326848348,33.91166623433431,307.2310333251953,39.34616661071777,1501.35498046875,1026.936014811198,10.510000069936115,49.85616683959961,,,2,1200
2020-06-20 14:55:26,1,285.47143118722096,3.421428595270429,12.222428458077568,33.862713950020925,311.1638619559152,39.16457094464983,1500.8742850167412,1026.941859654018,10.38999993460519,49.55457142421177,,,2,1200
2020-06-20 14:55:27,1,288.8883361816406,3.681666672229767,12.118333180745443,33.89050038655599,314.8882802327474,39.09766705830892,1500.6100056966145,1026.9989827473958,10.300000190734863,49.39766693115234,,,2,1200
2020-06-20 14:55:28,1,292.2099965413411,3.5549999872843423,12.053666750590006,33.89749972025553,318.5089060465495,39.04549980163574,1500.451680501302,1027.0318196614585,10.243333339691162,49.28883298238119,,,2,1200
2020-06-20 14:55:29,1,295.6757202148437,3.579999940735953,11.997142791748049,33.887428283691406,322.2865295410156,38.98400006975447,1500.3042864118304,1027.0507114955358,10.198571341378347,49.18257141113281,,,2,1200
