timeTag,devDeep,cableOut,cableRelease,cableSpeed,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,DA1,DA2,DA3,DA4,HC1,HC2,wStatus,DI1,DI2,DI3,DI4,DO1,DO2
2020-06-20 14:54:35,63.59571293422154,90.14639718191964,2809.853620256697,7.462857178279331,-14.1429,-4.5714,2.5714,86.8571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
2020-06-20 14:54:36,69.26666641235352,97.46811930338542,2802.5318196614585,7.028333346048991,-14.1667,-4.1667,1.3333,87.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
2020-06-20 14:54:37,74.47166570027669,103.99065399169922,2796.009318033854,7.27999997138977,-13.5000,-2.8333,1.3333,87.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
2020-06-20 14:54:38,80.05833307902019,110.86439895629884,2789.1356201171875,7.553333282470703,-13.3333,-2.6667,-0.1667,87.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
2020-06-20 14:54:39,85.81142970493862,117.86357988630024,2782.136404854911,6.857142925262451,-13.8571,-3.8571,1.1429,87.1429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
2020-06-20 14:54:40,91.27333323160808,124.62443669637044,2775.375528971354,7.056666612625122,-14.1667,-4.5000,1.6667,86.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
2020-06-20 14:54:41,96.74000004359654,131.47488839285714,2768.525146484375,6.607142925262451,-13.8571,-4.2857,0.1429,87.2857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
2020-06-20 14:54:42,101.88499959309895,138.1586939493815,2761.841267903646,6.754999955495198,-14.0000,-4.3333,0.8333,87.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
2020-06-20 14:54:43,107.0757130214146,145.02169145856584,2754.978376116072,6.514285632542202,-14.1429,-4.2857,0.1429,87.1429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
2020-06-20 14:54:44,112.25499979654948,151.45462799072266,2748.545328776041,6.886666536331177,-14.0000,-4.0000,0.5000,87.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
